
<========== show boot_progress result
name, seconds, delta, proc, phase
        [A] wifiscanner,10.655,0.001,WifiScanningService,
        [A] com.android.server.wifi.RttService,10.656,0.0,SystemServiceManager,
        [A] rttmanager,10.656,0.000999999999999,RttService,
        [A] com.android.server.ethernet.EthernetService,10.657,0.02,SystemServiceManager,
        [A] com.android.server.notification.NotificationManagerService,10.677,0.018,SystemServiceManager,
        [A] com.android.server.storage.DeviceStorageMonitorService,10.695,0.05,SystemServiceManager,
        [A] com.android.server.DockObserver,10.745,0.002,SystemServiceManager,
        [A] com.android.server.midi.MidiService$Lifecycle,10.747,0.005,SystemServiceManager,
        [A] com.android.server.usb.UsbService$Lifecycle,10.752,0.012,SystemServiceManager,
        [A] com.android.server.twilight.TwilightService,10.764,0.002,SystemServiceManager,
        [A] com.android.server.job.JobSchedulerService,10.766,0.004,SystemServiceManager,
        [A] com.android.server.backup.BackupManagerService$Lifecycle,10.77,0.002,SystemServiceManager,
        [A] com.android.server.appwidget.AppWidgetService,10.772,0.003,SystemServiceManager,
        [A] com.android.server.voiceinteraction.VoiceInteractionManagerService,10.775,0.008,SystemServiceManager,
        [A] com.android.server.GestureLauncherService,10.783,0.012,SystemServiceManager,
        [A] com.android.server.dreams.DreamManagerService,10.795,0.006,SystemServiceManager,
        [A] com.android.server.print.PrintManagerService,10.801,0.004,SystemServiceManager,
        [A] com.android.server.restrictions.RestrictionsManagerService,10.805,0.000999999999999,SystemServiceManager,
        [A] com.android.server.media.MediaSessionService,10.806,0.004,SystemServiceManager,
        [A] com.android.server.trust.TrustManagerService,10.81,0.002,SystemServiceManager,
        [A] com.android.server.fingerprint.FingerprintService,10.812,0.005,SystemServiceManager,
        [A] com.android.server.pm.LauncherAppsService,10.817,0.000999999999999,SystemServiceManager,
        [A] com.android.server.media.projection.MediaProjectionManagerService,10.818,0.01,SystemServiceManager,
        [A] com.android.server.MmsServiceBroker,10.828,0.022,SystemServiceManager,
        [A] phase 480,10.85,0.009,SystemServiceManager,
        [A] phase 500,10.859,0.016,SystemServiceManager,
        [A] Ethernet service,10.875,0.54,EthernetServiceImpl,
        [A] with transport com.google.android.backup/.BackupTransportService,11.415,0.026,BackupManagerService,
*ams_ready,11.441,0.002,
        [A] phase 550,11.443,0.046,SystemServiceManager,
        [A] a blocking GC HeapTrim,11.489,0.003,art,
        [A] a blocking GC Background,11.492,0.026,art,
        [P] 2654:WebViewLoader-x86/1037 [android.webkit.WebViewFactory$RelroFileCreator],11.518,0.002,ActivityManager,
        [A] a blocking GC HeapTrim,11.52,0.01,art,
        [P] 2660:com.android.externalstorage/u0a6,11.53,0.01,ActivityManager,
        [P] 2666:WebViewLoader-x86_64/1037 [android.webkit.WebViewFactory$RelroFileCreator],11.54,0.013,ActivityManager,
        [P] 2687:com.android.systemui/u0a19,11.553,0.012,ActivityManager,
        [P] 2701:android.process.media/u0a5,11.565,0.009,ActivityManager,
        [N] p2p_supplicant,11.574,0.037,init,
        [A] AP scan for wildcard SSID,11.611,0.0,wpa_supplicant,
        [A] radio work 'scan'@0x7fbdd029c140 after 0.000025 second wait,11.611,0.024,wpa_supplicant,
        [A] SystemUI services.,11.635,0.599,SystemUIService,
        [A] phase 600,12.234,0.008,SystemServiceManager,
        [A] a blocking GC HeapTrim,12.242,0.01,art,
        [P] 3000:com.google.android.googlequicksearchbox:interactor/u0a20,12.252,0.02,ActivityManager,
        [P] 3015:com.google.android.inputmethod.latin/u0a51,12.272,0.015,ActivityManager,
        [P] 3032:com.google.android.gms.persistent/u0a7,12.287,0.034,ActivityManager,
        [P] 3066:com.android.phone/1001,12.321,0.011,ActivityManager,
        [P] 3076:com.intel.dptf/1000,12.332,0.015,ActivityManager,
        [P] 3095:com.google.android.googlequicksearchbox/u0a20,12.347,0.014,ActivityManager,
        [P] 3113:com.android.printspooler/u0a63,12.361,0.103,ActivityManager,
        [P] 3156:android.process.acore/u0a3,12.464,0.183,ActivityManager,
        [P] 3213:com.google.android.googlequicksearchbox:search/u0a20,12.647,0.117,ActivityManager,
        [P] 3239:com.android.smspush/u0a65,12.764,0.165,ActivityManager,
        [P] 3272:com.google.process.gapps/u0a7,12.929,0.334,ActivityManager,
        [P] 3320:com.google.android.partnersetup/u0a11,13.263,0.248,ActivityManager,
        display_launcher,13.511,0.0,
        [P] 3345:com.google.android.gms/u0a7,13.511,0.053,ActivityManager,
*enable_screen,13.564,0.194,
        boot_is_finished,13.758,0.155,
*bootanim_exit,13.913,0.026,
        [A] service intent=Intent { act=com.google.android.location.reporting.ACTION_UPDATE_WORLD cmp=com.google.android.gms/com.google.android.location.reporting.service.DispatchingService (has extras) } extras=Bundle[{receiverAction=android.location.PROVIDERS_CHANGED}],13.939,0.013,GCoreUlr,
        [P] 3388:com.google.android.apps.maps/u0a54,13.952,0.01,ActivityManager,
        [A] phase 1000,13.962,0.012,SystemServiceManager,
        [P] 3401:com.android.bluetooth/1002,13.974,0.096,ActivityManager,
        [N] avbstreamhandler,14.07,0.174,init,
        [A] hardware config,14.244,0.095,bt_vendor,
        [N] btcfg,14.339,0.537,init,property:bluetooth.hwcfg=start
        [N] adbd,14.876,0.048,init,property:sys.usb.config=midi-adb
        [P] 3537:com.android.settings/1000,14.924,0.394,ActivityManager,
        [P] 3603:com.android.keychain/1000,15.318,0.016,ActivityManager,
        [P] 3610:com.facebook.katana/u0a77,15.334,0.245,ActivityManager,
        [P] 3632:com.google.android.marvin.talkback/u0a70,15.579,0.088,ActivityManager,
        [P] 3646:com.android.providers.calendar/u0a1,15.667,0.078,ActivityManager,
        [P] 3661:com.google.android.configupdater/u0a2,15.745,0.207,ActivityManager,
        [A] service intent=Intent { act=com.google.android.location.reporting.ACTION_UPDATE_WORLD cmp=com.google.android.gms/com.google.android.location.reporting.service.DispatchingService (has extras) } extras=Bundle[{receiverAction=android.intent.action.BOOT_COMPLETED}],15.952,0.318,GCoreUlr,
        [P] 3736:com.google.android.onetimeinitializer/u0a9,16.27,0.083,ActivityManager,
        [P] 3757:com.android.managedprovisioning/u0a12,16.353,0.17,ActivityManager,
        [P] 3774:com.android.vending/u0a14,16.523,0.302,ActivityManager,
        [P] 3814:com.google.android.apps.messaging/u0a27,16.825,0,ActivityManager,
